name,type,stem_price,stems_per_bunch,sources
Acacia Foliage Knifeblade Green,greenery,1.09,10,Mayesh
Agapanthus,flower,2.75,10,Mayesh
Alstroemeria,flower,0.95,10,Mayesh|Watanabe
Anthurium,flower,4,1,Watanabe
Anthurium Leaf,greenery,2.25,5,Mayesh
Artichoke,flower,6.55,1,Mayesh
Asparagus Fern,greenery,1.05,10,Watanabe
Aspidestra,greenery,0.8,10,Watanabe
Aster Matsumoto,flower,1.48,10,Mayesh|Watanabe
Astilbe,flower,2.2,10,Mayesh|Watanabe
Astrantia,flower,1.8,10,Mayesh
Baby's Breath,flower,1.05,10,Watanabe
Banksia,flower,7,1,Watanabe
Bay Laurel,greenery,1.275,10,Watanabe|Mayesh
Bear Grass,greenery,3.24,1,Mayesh
Bells of Ireland,flower,1.15,10,Watanabe|Mayesh
Billy Balls,flower,1.25,10,Watanabe
Bird of Paradise,flower,2.55,5,Mayesh|Watanabe
Blackberry Foliage,greenery,3.85,5,Mayesh
Buplurem,greenery,1.1,10,Watanabe
Cala Lily (Large),flower,2.85,10,Mayesh
Cala Lily (Small),flower,1.8,10,Watanabe
Calathea Leaves White Star Variegated,greenery,1,10,Mayesh
CALATHEA LEAVES ZEBRINA VARIEGATED,greenery,1,10,Mayesh
Campanula,flower,2.05,10,Mayesh
Carnation,flower,0.72,25,Watanabe
Celosia,flower,1.75,10,Watanabe|Mayesh
Chamomile,flower,1.05,10,Watanabe
Chilli Peppers,flower,10.1,1,Mayesh
China Berries,flower,1.15,10,Mayesh
Chrysanthemum Disbud,flower,1.45,10,Mayesh
Clemantis Pod,flower,1.25,10,Mayesh
Commodore Emerald Green,greenery,1.25,10,Mayesh
Commodore Teepee Green,greenery,1.4,10,Mayesh
Cornflower,flower,1.53,10,Mayesh
Coxcomb,flower,2.2,5,Mayesh|Watanabe
Cymbidium Orchid Mini,flower,20,1,Watanabe
Dahlia,flower,4.4,5,Watanabe|Mayesh
Delphinium (Belladonna),flower,1.2,10,Watanabe
Delphinium (Hybrid),flower,1.7,10,Watanabe
Dendrobium Orchid,flower,2.35,5,Watanabe
Dendrobium Orchid (Blue),flower,2.4,10,Mayesh
Dianthus Ball Green,flower,1.85,10,Watanabe
Dianthus Gypsy,flower,1.6,10,Mayesh
DUSTY MILLER LACEY LEAF SILVER,greenery,1.45,10,Mayesh
Echinops,flower,1.75,10,Mayesh
Eryngium (Thistle),flower,1.75,10,Watanabe
Eucalytpus Cineria/Gunni,greenery,1.095,10,Mayesh
Eucalyptus Seeded,greenery,1.095,10,Mayesh
Fern Brake Green,greenery,0.66,10,Mayesh
Fern Flat Green,greenery,0.655,10,Mayesh
Fern Shoots Brown,greenery,3.125,10,Mayesh
Garden Rose,flower,4.1667,12,Watanabe
Geranium Greenery,greenery,1.275,10,Mayesh
Gerbera Daisy,flower,3.75,1,Watanabe
Ginger,flower,2.7,1,Mayesh
"Ginger, Beehive",flower,4.5,1,Watanabe|Mayesh
Gloriosa (Short),flower,2.2,5,Mayesh
Gomphrena,flower,1.28,10,Mayesh
Grevillea,greenery,0.8,10,Mayesh
Hanging Amaranthus,flower,1.5,10,Watanabe
Heather,flower,1.25,10,Watanabe
Heliconia Psittacorum Orange,flower,2.15,5,Mayesh
"Heliconia, Parrot",flower,3.25,1,Watanabe
Huckleberry,greenery,0.9,10,Watanabe
Hydrangea (Blue),flower,4.5,1,Watanabe
Hydrangea (White),flower,4,1,Watanabe
Iris,flower,1.8,10,Watanabe|Mayesh
Italian Ruscus,greenery,2.7,5,Watanabe
"Ivy, Variegated",greenery,1.275,10,Watanabe|Mayesh
Jasmine Vine,greenery,1.65,10,Watanabe
