name,unit_price,sources,link
Airline Wire (50ft),20.00,Amazon,https://www.amazon.com/VIVBOO-Stainless-Aircraft-Thimbles-Aluminum/dp/B0D25BRKVJ/ref=sr_1_6?crid=LSYUOJK4ZR1F&dib=eyJ2IjoiMSJ9.jXkw7pv1R7eXYgQNSgPiIRVvIEXorE99TNnWCQTqGIATA68YlfKsPN6mCgv6fLH8gMe2I9LyzQ_Iph4MLKdi3dLQN7ii_U2zV96f8zPU6VytVjLVigqsBxRftkDNN8ud9U9h6-Uz9A1zvKl4c4A5P0HQ32VD0uePg1F7ZwwYAkYH0opykM6T-s4M8n6Vs0Igdti8muho4UyvQRkGK5CQLWm-J5GZ5fGwhaww0fVSZR1I-2K3EKhaC5E41c0uDujsmUM4GTJImnbyDScKanoRme1HTfVXiB-9AsmCHxeX8IM.hmuzgMKXnOsSZehUIg1q85kMHU6VVK6MTKE1nut2RvU&dib_tag=se&keywords=air%2Bline%2Bwire&qid=1725215423&sprefix=air%2Bline%2B%2Caps%2C365&sr=8-6&th=1
"Bag, Flower Petals",1.00,Floradec,
Bouquet Pins & Ribbon (Standard),0.50,Floradec,
Boutonniere Pins & Ribbon (Standard),0.25,Floradec,
Boutonniere/Corsage Box (L),2.50,Floradec,
Boutonniere/Corsage Box (M),1.50,Floradec,
Boutonniere/Corsage Box (S),1.00,Floradec,
"Bucket, Bouquets",4.00,Floradec,
Cake Flower Box,3.00,Floradec,
"Chandelier Hoop (24"")",50.00,Amazon?,
Chicken Wire (1 sq/ft),1.00,Lowes,
Corsage Bracelet,1.50,Amazon,
Foam Brick,4.50,Floradec,
"Foam Cage, Half",7.00,Floradec,
"Foam Cage, Igloo (S)",5.00,Floradec,
"Foam Cage, Standard",6.00,Floradec,
"Foam Coage, Igloo (L)",8.00,Floradec,
Lei Box (L),5.00,Floradec,
Toss Petal Cones & Ribbon,0.15,Floradec,
"Tray, Grounded, Black",9.00,Floradec,
"Tray, Grounded, Green",9.00,Floradec,
"Tray, Long (L)",7.00,Floradec,
"Tray, Long (M)",6.00,Floradec,
"Tray, Round (M)",5.00,Floradec,
"Tray, Round (S)",3.75,Floradec,
"Vase, 4""-5"" Glass Cylinder",5.00,Amazon,
"Vase, Bouquet (Standard)",5.00,Amazon,
"Vase, Bud Vase (Standard)",2.50,Amazon,
Water Tubes,0.20,Floradec,
